,股票代码,股票简称,ROE2022,ROE2021,ROE2020,ROE2019,ROE2018
863,839037.BJ,科创融鑫,16.88,21.77,20.43,28.09,21.6
869,838222.BJ,合筑设计,38.46,40.82,38.5,27.07,16.27
879,837326.BJ,同方瑞风,30.67,22.07,22.68,26.37,38.99
886,836475.BJ,华士食品,40.84,50.58,33.66,24.36,26.41
894,835637.BJ,林华医疗,21.81,17.83,19.18,23.75,23.19
902,834950.BJ,迅安科技,39.52,56.43,50.71,33.75,31.1
907,834261.BJ,一诺威,16.85,22.57,22.84,22.71,17.44
910,834065.BJ,合凯电气,32.91,42.55,31.67,33.68,27.09
914,833764.BJ,斯达电气,20.24,22.17,25.03,26.41,18.88
915,833611.BJ,镭之源,27.11,42.0,26.93,24.06,26.93
917,833571.BJ,锁龙消防,19.07,21.5,24.5,27.22,21.04
918,833533.BJ,骏创科技,30.06,25.78,21.76,22.26,31.53
920,833332.BJ,多尔晋泽,19.98,20.12,21.19,31.05,36.45
925,832816.BJ,索克服务,24.37,30.71,44.28,23.79,18.91
939,831727.BJ,中钢网,23.16,26.2,17.04,38.15,35.48
941,831662.BJ,快乐沃克,23.12,28.19,30.78,34.04,33.35
943,831401.BJ,信立方,19.43,18.72,21.67,20.12,19.5
947,831137.BJ,泰和股份,28.62,18.66,22.18,20.03,24.45
949,688625.SH,呈和科技,19.86,25.68,43.36,44.86,43.02
955,605369.SH,拱东医疗,22.09,24.66,34.12,31.48,28.63
956,605138.SH,盛泰集团,16.8,18.01,21.64,22.06,22.56
959,603833.SH,欧派家居,17.37,20.14,19.26,21.66,22.72
962,603281.SH,江瀚新材,55.83,68.16,24.19,26.58,35.2
964,603215.SH,比依股份,21.24,41.27,59.16,39.0,41.85
965,601100.SH,恒立液压,22.6,32.83,34.73,24.32,19.94
973,430564,天润科技,19.22,27.98,31.27,19.44,16.64
976,301356.SZ,天振股份,24.09,25.84,43.36,44.23,40.35
977,301345.SZ,涛涛车业,24.35,39.13,56.04,32.02,28.47
978,301314.SZ,科瑞思,24.75,41.24,28.5,59.29,171.74
979,301255.SZ,通力科技,22.92,27.57,21.81,17.67,23.19
980,301208.SZ,中亦科技,15.78,25.48,22.15,25.01,26.01
981,301157.SZ,华塑科技,22.27,27.62,53.56,33.19,76.6
982,301015.SZ,百洋医药,22.82,22.87,18.09,17.82,26.5
983,300894.SZ,火星人,20.09,27.01,38.25,46.89,29.55
985,300880.SZ,迦南智能,17.77,15.53,18.9,29.92,29.77
986,300837.SZ,浙矿股份,16.24,15.74,17.52,24.54,24.27
987,300815.SZ,玉禾田,15.98,17.38,28.98,37.3,30.87
989,300763.SZ,锦浪科技,35.09,23.05,29.05,16.93,40.6
990,300630.SZ,普利制药,15.62,17.88,24.02,29.68,22.71
1001,002979.SZ,雷赛智能,19.07,19.54,17.73,20.09,19.52
1010,001333.SZ,光华股份,18.9,29.44,25.69,32.6,18.81
1011,001323.SZ,慕思股份,19.92,30.88,46.13,40.77,41.61
1012,001311.SZ,多利科技,27.23,31.52,16.01,20.95,19.73
1013,001255.SZ,博菲电气,15.4,25.89,45.58,28.52,20.29
1014,001229.SZ,魅视科技,15.7,34.83,41.07,53.58,89.65
1015,001222.SZ,源飞宠物,20.24,28.04,25.92,28.54,47.05
1028,873477.BJ,同方德诚,17.49,37.02,25.43,25.4,42.64
1032,872610.BJ,妙音数科,17.04,21.3,46.29,53.44,54.67
1035,871740.BJ,健仕股份,19.28,17.15,16.5,25.78,31.32
1037,870959.BJ,公正股份,48.85,45.7,62.55,40.95,36.14
1040,870308.BJ,鲎生科,46.92,61.2,26.85,24.09,30.48
1042,839655.BJ,威星电子,20.83,26.43,16.26,18.09,19.53
1044,839180.BJ,瑞福来,25.89,24.45,15.72,20.75,29.37
1049,838504.BJ,光环国际,20.9,62.97,57.4,53.67,26.99
1050,838458.BJ,宁波协源,24.81,28.05,22.21,21.86,19.93
1052,837936.BJ,新乡滤器,40.76,41.35,34.68,23.41,29.22
1057,835708.BJ,蓝能科技,28.43,22.24,21.52,28.4,17.81
1058,835368.BJ,连城数控,16.58,15.57,24.73,16.44,24.91
1062,834503.BJ,西盈科技,34.44,20.91,22.19,25.1,18.28
1071,832834.BJ,吉泰新材,17.35,18.49,26.85,38.33,31.27
1078,831184.BJ,强盛股份,17.99,16.76,38.88,32.41,32.74
1081,430685,新芝生物,15.18,32.99,28.99,30.55,23.44
1084,301419.SZ,阿莱德,20.34,23.96,31.0,27.99,33.94
1085,301360.SZ,荣旗科技,33.21,39.02,45.72,36.63,65.94
1086,301303.SZ,真兰仪表,24.07,29.77,31.57,34.95,33.83
1088,301276.SZ,嘉曼服饰,16.0,30.59,23.97,22.41,21.84
1089,301267.SZ,华厦眼科,20.07,27.87,26.72,18.87,15.81
1092,300638.SZ,广和通,16.44,21.75,19.92,29.58,21.38
1094,000885.SZ,城发环境,17.35,18.65,16.62,21.41,26.88
1096,605499.SH,东鹏饮料,31.65,36.48,45.82,43.14,22.05
1099,603568.SH,伟明环保,19.45,24.91,26.02,26.54,28.74
1100,603235.SH,天新药业,21.78,48.56,52.76,43.44,74.53
1101,603057.SH,紫燕食品,15.02,28.53,37.87,38.0,28.58
1106,301216.SZ,万凯新材,21.67,28.16,15.72,36.7,31.48
1107,300979.SZ,华利集团,27.25,29.97,36.78,67.75,33.81
1108,300873.SZ,海晨股份,16.39,16.23,18.44,21.34,15.47
1109,300861.SZ,美畅股份,32.58,20.52,21.06,29.25,63.14
1111,300770.SZ,新媒股份,21.36,24.06,23.9,24.32,32.37
1113,300628.SZ,亿联网络,30.9,28.26,26.88,31.47,26.9
1131,873595.BJ,中联科技,37.08,29.7,36.44,30.49,25.63
1133,873540.BJ,进源热能,17.753,26.25,28.359,19.75,20.58
1134,873481.BJ,相城检测,19.2,28.16,42.43,41.88,30.29
1137,873233.BJ,睿高股份,20.51,21.37,19.64,19.32,31.71
1142,872715.BJ,大正仪表,20.39,15.05,17.2,20.47,25.03
1145,872559.BJ,长河科技,24.85,23.38,28.4,19.56,25.45
1153,871783.BJ,新联股份,24.37,24.11,17.57,40.33,45.51
1154,871501.BJ,麦斯特,29.26,37.67,24.33,25.57,32.25
1156,871076.BJ,同济建管,42.59,55.8,55.35,21.98,18.1
1160,870044.BJ,风控工程,23.33,34.17,53.44,65.83,47.46
1163,839599.BJ,前瞻资讯,31.38,46.67,47.98,29.91,29.88
1166,839472.BJ,亮威科技,56.44,31.85,33.49,33.18,21.15
1180,837581.BJ,川力科技,21.12,26.67,17.56,49.37,21.68
1182,837340.BJ,帝源新材,18.88,19.24,25.12,29.82,23.04
1187,836967.BJ,爱去欧,17.08,29.52,27.99,21.42,22.21
1188,836946.BJ,高服股份,20.14,25.38,22.77,20.25,31.78
1191,836384.BJ,瑞真精机,34.06,31.55,31.67,32.75,64.47
1197,834915.BJ,津同仁堂,31.55,34.6,27.5,25.37,32.81
1201,834407.BJ,驰诚股份,15.32,18.57,21.04,19.54,24.32
1205,833713.BJ,立德电子,27.54,33.98,32.83,34.91,26.98
1207,832058.BJ,东联科技,40.69,30.95,73.21,72.92,88.11
1209,831798.BJ,博益气动,19.94,31.46,32.82,33.85,40.61
1212,831515.BJ,威和光电,32.88,32.1,20.81,15.4,29.62
1215,688598.SH,金博股份,15.49,31.37,19.66,32.12,28.46
1224,603605.SH,珀莱雅,25.95,22.25,21.82,21.24,18.28
1226,603505.SH,金石资源,17.24,20.57,23.64,24.26,17.56
1227,603489.SH,八方股份,18.51,24.8,19.04,46.95,63.35
1231,600867.SH,通化东宝,24.52,22.08,17.72,16.58,17.63
1241,301382.SZ,蜂助手,21.67,22.77,23.57,23.43,26.49
1243,300982.SZ,苏文电能,16.4,25.78,39.77,31.39,24.19
