,股票代码,股票简称,ROE2022
1890,872417.BJ,荣骏检测,19.53
1891,872415.BJ,欧联股份,21.17
1896,872379.BJ,小蝉传媒,43.85
1897,872374.BJ,云里物里,19.14
1902,872328.BJ,宁苗生态,16.18
1909,872288.BJ,金码测控,17.45
1911,872267.BJ,金发股份,18.86
1918,872216.BJ,高发气体,30.68
1919,872213.BJ,康隆生物,23.02
1924,872183.BJ,润康科技,16.28
1929,872156.BJ,中科沣文,162.55
1931,872144.BJ,精一科技,18.44
1933,872102.BJ,中苏科技,33.3
1936,872085.BJ,群星明,17.3
1937,872082.BJ,百年育才,26.34
1938,872077.BJ,ST恒铭,36.62
1948,871952.BJ,国创节能,15.13
1951,871942.BJ,阖天下,17.78
1962,871859.BJ,明日教育,30.99
1963,871858.BJ,天易成,23.5
1966,871840.BJ,五五科技,56.88
1967,871835.BJ,睿智教育,21.64
1971,871807.BJ,兴湃至美,15.48
1973,871791.BJ,修路人,19.22
1979,871721.BJ,润元户外,19.51
1990,871529.BJ,鼎峰科技,17.34
1999,871425.BJ,富美特,20.85
2010,871281.BJ,正多科技,18.63
2018,871012.BJ,穿越科技,65.56
2028,870892.BJ,杭州路桥,18.33
2032,870777.BJ,麦腾科创,60.57
2038,870702.BJ,点触科技,23.2
2045,870556.BJ,首信科技,29.9
2047,870548.BJ,凯奥能源,18.77
2050,870520.BJ,豪辉科技,34.09
2066,870271.BJ,聚川环保,16.49
2069,870225.BJ,华聪股份,17.78
2077,870130.BJ,益健堂,20.32
2080,870016.BJ,新迎顺,15.38
2081,870009.BJ,安捷股份,31.49
2083,839962.BJ,中诚咨询,37.19
2084,839954.BJ,汇杰设计,25.3
2104,839643.BJ,仪美医科,18.17
2108,839605.BJ,晟琪科技,17.57
2109,839583.BJ,图南电子,30.09
2120,839355.BJ,为正生物,44.31
2122,839335.BJ,互邦电力,35.47
2123,839305.BJ,尼普顿,37.38
2125,839296.BJ,方大咨询,22.31
2132,839187.BJ,视瑞特,23.57
2136,839142.BJ,金穗隆,20.47
2137,839131.BJ,艾叶文化,16.91
2139,839081.BJ,凤礼精求,16.01
2141,839033.BJ,恒电科技,15.87
2142,839028.BJ,华会通,45.95
2144,838982.BJ,阳光中科,54.46
2146,838956.BJ,旋荣科技,28.65
2147,838934.BJ,叙简科技,18.65
2154,838861.BJ,华鹏精机,35.86
2159,838798.BJ,瑞星时光,24.6
2164,838693.BJ,佳鹏股份,40.54
2168,838655.BJ,泰利信,56.42
2169,838651.BJ,谷实生物,35.53
2178,838486.BJ,远正智能,22.1
2184,838408.BJ,天锐股份,18.86
2185,838395.BJ,科融数据,24.57
2187,838372.BJ,纯聚科技,20.22
2188,838334.BJ,金证互通,26.69
2195,838194.BJ,金泰美林,40.1
2196,838192.BJ,铂联科技,17.95
2201,838075.BJ,安锐信息,20.88
2204,837934.BJ,神州能源,22.06
2205,837931.BJ,大飞龙,29.2
2207,837912.BJ,ST龙席,200.0
2216,837796.BJ,黑马高科,16.02
2218,837748.BJ,路桥信息,22.09
2224,837646.BJ,德能电机,18.73
2230,837558.BJ,宏辉石油,18.14
2237,837393.BJ,诺和股份,22.27
2242,837289.BJ,迪威高压,37.66
2244,837253.BJ,中良股份,28.59
2247,837173.BJ,华瑞达,36.17
2248,837143.BJ,潮庭食品,22.82
2251,837090.BJ,泛谷药业,32.18
2253,837006.BJ,晟楠科技,29.03
2255,836974.BJ,上海功途,16.54
2257,836954.BJ,鼎集智能,22.31
2267,836830.BJ,华迅智能,16.25
2279,836679.BJ,科睿特,34.1
2287,836547.BJ,无锡晶海,21.91
2290,836440.BJ,浦士达,20.89
2300,836189.BJ,新诺航科,20.1
2302,836127.BJ,亿鑫股份,27.82
2308,836047.BJ,信元网安,19.64
2312,835982.BJ,联盛科技,63.1
2326,835755.BJ,创研股份,42.94
2332,835595.BJ,固润科技,17.06
2338,835496.BJ,德林荣泽,82.79
2343,835405.BJ,意天物联,22.74
2344,835391.BJ,百事宝,23.45
2346,835365.BJ,国友股份,15.07
2351,835296.BJ,澳菲利,20.69
2353,835287.BJ,鹏业软件,25.03
2356,835203.BJ,亚微软件,44.07
2358,835192.BJ,电老虎网,20.16
2359,835187.BJ,中汇股份,35.28
2368,834896.BJ,世贸通,48.47
2370,834866.BJ,利欣制药,19.41
2378,834756.BJ,凡星医疗,19.63
2382,834700.BJ,征途科技,65.71
2383,834685.BJ,先锋机械,15.72
2389,834587.BJ,鼎端装备,394.38
2403,834414.BJ,源耀农业,29.01
2405,834377.BJ,德博科技,18.11
2407,834361.BJ,融航信息,33.69
2429,833925.BJ,兴业源,18.13
2430,833923.BJ,华辰净化,36.29
2438,833784.BJ,美福润,15.61
2440,833751.BJ,惠同新材,15.59
2442,833716.BJ,天工科技,17.16
2457,833505.BJ,美的连,35.44
2462,833434.BJ,博锐斯,22.99
2464,833399.BJ,香哈股份,51.18
2466,833395.BJ,帕卓管路,16.41
2477,833204.BJ,百事达,15.12
2484,833022.BJ,欧迈机械,30.98
2495,832917.BJ,惠洲院,16.65
2499,832876.BJ,慧为智能,17.33
2501,832854.BJ,紫光新能,111.18
2503,832850.BJ,大泽电极,45.68
2505,832822.BJ,保正股份,52.98
2526,832499.BJ,天海流体,22.54
2535,832359.BJ,益森科技,15.19
2545,832214.BJ,太川股份,23.81
2547,832174.BJ,益立胶囊,17.48
2564,831978.BJ,金康精工,20.04
2576,831854.BJ,曼克斯,52.61
2583,831743.BJ,立高科技,16.0
2587,831718.BJ,青鸟软通,16.08
2590,831698.BJ,工大软件,15.93
2593,831669.BJ,永晟科技,23.26
2596,831641.BJ,格利尔,24.54
2608,831519.BJ,百正新材,28.27
2614,831462.BJ,友泰电气,44.18
2619,831428.BJ,数据堂,17.87
2627,831330.BJ,普适导航,54.02
2629,831311.BJ,博安智能,24.53
2633,831236.BJ,华东修船,32.81
2636,831185.BJ,众智软件,21.54
2638,831144.BJ,欣影科技,15.15
2645,831032.BJ,景睿策划,35.03
2651,830961.BJ,圣华农科,22.65
2660,830852.BJ,中科仪,60.78
2662,830825.BJ,和泰润佳,21.97
2663,830824.BJ,华虹科技,21.44
2664,830806.BJ,亚锦科技,57.24
2667,688789.SH,宏华数科,15.48
2668,688777.SH,中控技术,16.44
2671,688581.SH,安杰思,44.4
2677,688399.SH,硕世生物,58.8
2678,688390.SH,固德威,33.18
2695,688152.SH,麒麟信安,22.84
2705,688006.SH,杭可科技,15.9
2710,605266.SH,健之佳,17.87
2725,603948.SH,建业股份,21.49
2727,603908.SH,牧高笛,27.97
2729,603855.SH,华荣股份,19.85
2733,603801.SH,志邦家居,19.91
